Temperature Low,Temperature High,Temperature Avg,Relative Humidity Low,Relative Humidity High,Relative Humidity Avg,Mean Sea Level Pressure Low,Mean Sea Level Pressure High,Mean Sea Level Pressure,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Wind Speed Low,Wind Speed High,Wind Speed Avg,Wind Direction Dominant,Wind Gust Avg,Wind Gust High,Wind Gust Low,Precipitation Total
38.98495,52.75495,41.959454,69,86,75.916664,1019,1030.7,1025.7125,72.666664,16.583334,58.791668,57,280.14258,1506.7701,11.775965,27.256247,20.396524,271.41443,28.8,49.32,40.274998,0.90000004
36.842953,53.87095,43.3597,29,79,50.458332,1023.5,1030.8,1027.1708,87.708336,57.5,87.208336,4.5833335,0,1319.8699,2.8692157,24.560865,13.64746,254.65363,29.88,46.44,37.875,0
38.37295,54.050953,46.1812,33,72,46.416668,1014.5,1024.4,1018.625,15.929166,10.041667,14.416667,5.75,470.00488,1984.7,4.00487,19.98,10.699589,194.91164,27.359999,47.519997,36.945,0
41.82895,51.18895,46.568954,59,88,71.25,1015,1021.6,1017.84576,60.55,22.208334,40.041668,42.25,227.23404,1533.47,5.8668513,26.452862,16.854109,252.84349,23.039999,56.519997,40.844997,1.7
39.668953,55.760952,47.0692,48,82,62.166668,1007.2,1020.4,1012.4875,73.97917,61.583332,73.416664,36.25,61.30007,1358.1399,5.6637416,16.413353,10.729076,201.18665,20.519999,42.48,32.789997,0
41.57695,54.69895,47.039204,44,96,69.25,1004.4,1008.4,1006.55,83.875,57.416668,83.875,81.666664,0,790.31995,4.5833187,15.266371,9.395059,189.22989,6.8399997,42.12,29.745,11.2
32.468952,42.65695,39.390697,77,89,84.208336,1008.6,1020.3,1014.42084,76.083336,15.375,76.083336,71.25,58.54043,1026.17,2.028842,17.274965,9.273666,265.0905,8.28,26.64,19.59,1.9000001
30.164951,42.17095,34.508953,58,93,78.25,1013.5,1021.4,1017.52924,49.375,6.5,49.375,0,46.595745,2120.8699,4.336678,11.15386,7.9018064,128.50507,6.4799995,15.4800005,11.114998,0
29.984951,41.99095,36.27895,69,94,81.625,1009.6,1013.8,1011.54156,84.916664,26.583334,79.291664,79.458336,0,1207.73,0.5328,11.380612,6.943704,131.29869,2.52,24.48,11.189999,3
34.17895,38.98495,36.251205,72,93,86.375,1010.3,1012.2,1011.4666,97.666664,1,88.833336,97.583336,19.666668,1615.3501,1.0656,12.723215,8.244167,311.4994,2.8799999,19.8,11.5650015,2
32.72095,42.69295,36.090702,62,95,83.541664,1007.3,1011.8,1009.18756,53.458332,1.25,43.5,35.25,418.27942,2241.91,0.5328,20.469507,7.7278156,119.18495,4.68,26.28,12.719998,0
29.552952,40.04695,33.839203,67,95,87.291664,1007.9,1018,1012.1375,63.291668,0,55.375,60.666668,316.48334,1836.0701,1.7057923,7.947476,5.419335,319.9138,1.4399999,19.08,9.81,0
32.036953,38.93095,35.431454,79,96,88.25,1018.4,1024.8,1021.2625,100,0,0,100,0,892.67004,2.664,11.999834,7.0750537,354.14398,5.04,21.24,12.419999,0
30.614952,37.95895,33.89845,64,96,84.625,1020.9,1025.2,1023.4209,89.666664,10.125,35.333332,76.041664,29.361702,1488.9701,0.5956885,24.601286,10.591945,276.1344,4.32,34.2,17.07,1.3000001
30.29095,39.34495,34.3102,67,96,84.666664,1025.6,1030.9,1029.2083,72.683334,11.208333,28.916666,60.375,171.4468,2304.2097,1.4346079,19.099226,10.895707,330.69946,6.8399997,34.2,21.51,0
34.43095,39.29095,36.902203,71,92,85.25,1021.5,1030,1026.525,100,33.666668,95.75,96.25,0,1059.9901,2.9784424,17.574326,9.075889,249.9919,7.92,40.32,17.67,4.6
35.49295,41.27095,37.98895,64,91,82.083336,1021.1,1024.3,1023.24164,92.083336,5.7083335,37.166668,85.666664,105.95745,1488.08,7.501892,20.547369,12.4448595,289.96432,16.199999,33.839996,22.589998,2.2
34.412952,43.82695,38.575455,60,94,78.333336,1006.6,1024.1,1018.125,87.225,27.625,52.291668,71,118.4805,1846.75,8.258399,21.208517,14.125005,245.54831,12.959999,45.36,26.789999,1.5
34.79095,45.21295,40.850952,62,93,75.416664,977.9,1006.2,996.46246,95.708336,91.666664,88.916664,88,40.629787,1882.3499,10.685928,30.150314,23.647125,245.06726,25.919998,62.639996,44.324997,3.8999999
31.244951,41.90095,36.923954,59,88,77.958336,976.1,981.4,978.45,77.166664,13.916667,72.291664,62.333332,150.32767,2108.41,18.920027,31.023876,24.688341,257.1603,37.079998,52.56,44.099995,1.6000001
33.54895,41.41495,36.620197,65,92,77.875,980.6,987.3,983.02924,88.041664,15.041667,88.041664,78.458336,7.021276,1259.3499,9.770018,25.92306,16.31325,254.62567,20.16,50.399998,30.705004,2.1
32.774952,38.516953,34.76695,65,91,81.375,986.1,996.6,990.67914,75.083336,0,63.416668,69,104.06277,1258.46,12.061772,34.49031,23.227446,266.80872,30.599998,51.839996,40.589996,1.4000001
31.514952,37.49095,34.3642,71,95,85.125,995.1,1004.9,1001.96246,97.416664,0,63.041668,97.416664,19.597166,1503.2101,7.4782047,33.375572,19.726448,275.05902,15.84,51.12,31.230001,5
30.488953,39.95695,34.0702,58,93,78.041664,1000.4,1004.6,1002.3291,70.958336,54.083332,66.875,49.916668,239.8085,2427.03,3.4115846,14.748554,8.834621,96.824974,4.32,24.119999,13.7699995,0
28.724953,36.53695,31.696451,59,83,72.208336,1004.3,1013.1,1007.8625,8.554167,6.625,7.6666665,1.6666666,553.41486,2710.94,2.1477854,18.95937,9.06833,52.865723,9.72,30.239998,20.939999,0
28.562952,35.04295,31.914701,56,72,65.833336,1010.5,1013.7,1012.13745,87.958336,4.5416665,44.875,84.166664,21.063831,1929.52,9.910653,25.906628,17.160894,50.454178,20.880001,39.239998,30.284996,0
28.886951,35.90695,31.853197,57,72,64.666664,1013.9,1019.5,1015.7834,2,0.25,2,1.0833334,588.1085,2834.6501,7.835059,26.621346,16.396261,59.96028,26.64,51.48,40.334995,0
25.358952,36.662952,30.370451,47,76,61.666668,1020.3,1030.4,1025.6292,8.4375,8.666667,8.125,0,468.89114,2948.5698,0.5328,21.658829,10.67731,69.17335,10.08,49.68,31.815002,0
27.06895,37.97695,31.475203,61,89,77.708336,1028.5,1033.6,1031.0751,24.320833,1.5,0,24.083334,317.1862,2703.82,0.2664,29.24703,9.66229,20.164825,2.16,42.12,18.839998,0
29.606953,42.13495,35.26195,52,88,73.083336,1031.3,1035.7,1033.6542,57.041668,0.5,0,57.041668,313.73013,2770.5698,2.382754,14.770192,7.7514515,275.18402,5.3999996,21.599998,15.105002,0
28.742952,43.61095,36.158203,67,96,83.333336,1028.7,1033.4,1031.0709,11.791667,0,0,11.791667,543.13794,2961.92,0.2664,15.034498,6.598764,92.12109,4.68,27,16.200003,0
31.082952,48.488953,37.9222,65,96,80.625,1023.5,1029.2,1026.5416,14.125,0,0,14.125,606.2216,3058.93,5.117377,15.888252,9.59281,114.074165,5.04,20.880001,13.875,0
31.640951,52.03495,40.682953,55,90,74.458336,1020.7,1024.3,1022.5791,0,0,0,0,609.7666,3122.1199,3.0374274,6.6600003,5.18327,105.443115,2.16,9,4.935,0
38.516953,53.582954,44.415707,47,82,59.625,1015.2,1022.9,1019.6125,68.2125,30.916666,67.75,21.916666,19.685286,2986.84,1.8837326,7.743951,5.414685,122.442444,2.52,22.68,10.290001,0
42.836952,50.522953,46.34845,64,81,70.625,1007.7,1014.4,1010.6916,98.541664,2,90.833336,85.458336,14.680849,1855.6499,3.013972,13.250555,7.688696,179.80037,7.2,36,21.824999,0.4
39.92095,50.234955,44.5282,58,92,78.041664,1007.4,1014.4,1009.5459,91.791664,1,91.791664,50.625,10.851063,2667.3298,2.2916594,8.262695,4.8219905,84.14399,5.3999996,18.359999,10.500001,1.6
35.72695,47.93095,40.2787,65,93,84.416664,1014.7,1021.2,1018.2292,71.625,0.9166667,16.583334,55.458332,242.38191,2952.13,1.0656,6.236264,3.5591593,337.61987,3.2399998,12.959999,7.3349986,0
34.412952,45.64495,38.600952,61,96,84.875,1021.3,1037.1,1029.3792,59.458332,1.875,30.208334,38,356.66666,2799.94,0,12.132174,5.1483464,320.65253,1.8,24.119999,9.2699995,0
31.406952,43.862953,36.70195,69,95,84.291664,1036.1,1039.7,1037.9501,52.208332,0,0,52.208332,417.57837,3301.9,0.2664,6.179102,2.6385736,12.957581,2.16,18.359999,9.2699995,0
31.17295,45.86095,37.58245,58,94,77.041664,1027.1,1037.6,1032.6167,0,0,0,0,632.31665,3471.89,0.2664,8.05392,4.6067057,119.74487,3.2399998,20.880001,10.469999,0
35.61895,55.58095,42.82045,37,85,60.625,1009.6,1026.9,1019.50006,0,0,0,0,635.6,3511.94,2.664,14.854039,7.7014847,166.28777,1.4399999,34.2,21.225002,0
37.99495,42.49495,40.207447,55,89,73.916664,1001,1008.3,1003.4084,87.5,37.791668,87.5,86.708336,0,1003.92,2.5132127,22.91195,13.468411,226.37117,10.799999,55.44,32.670002,3.3000002
37.09495,44.61895,40.0177,60,93,77.5,1003.7,1011.5,1008.5,56.375,11.958333,38.25,56.375,390.57022,2315.78,1.8837326,7.6285353,3.915741,55.04934,4.32,12.24,8.52,0
33.38695,51.56695,40.736954,71,93,80.25,999,1010.3,1004.22076,68.479164,35.125,62.333332,46.041668,113.61703,1480.07,3.2189233,19.403358,9.599523,230.41187,9.72,38.16,23.819998,2.1000001
39.02095,45.55495,41.636204,58,84,75.666664,1003.2,1016.9,1008.7292,85.375,17.5,63.541668,57.625,204.89362,2882.7102,8.03186,15.4512005,11.726781,264.4742,17.64,30.960001,23.849998,0.1
35.70895,46.760952,40.720448,48,89,70.25,1017.2,1021.3,1019.0791,49,0.083333336,1.1666666,49,566.21735,3738.89,1.8837326,11.605993,7.5657163,275.96625,2.52,27.359999,13.005,0.5
35.996952,50.234955,42.07495,47,87,69.125,1013.3,1021.4,1018.325,66.958336,0,16.541666,62.791668,452.62555,3649,0.753493,9.827957,5.1634417,122.49128,2.52,11.5199995,7.5599995,0
39.11095,43.43095,40.535202,57,90,80.958336,1008.5,1022.4,1014.06256,100,33.75,93.291664,100,0,1163.23,5.2878885,19.556372,12.678102,284.03625,11.159999,32.039997,23.145002,12.2
33.224953,44.996952,38.240955,61,88,77.791664,1018.3,1024.3,1021.6584,28.233332,1,8.958333,22.625,558.18396,3540.4197,0.3767465,9.185971,3.816003,202.83365,1.08,22.319998,10.259999,0
36.55495,52.88095,45.7657,56,79,70.5,1009.7,1017.6,1012.33746,97.25,60.791668,65.791664,83.625,0,1063.55,4.598777,22.009863,12.418023,232.66844,15.4800005,47.519997,31.125002,0.5
39.74095,52.28695,46.766205,59,88,74,1006.7,1021.3,1012.20416,38.333332,8.791667,4.4583335,35.166668,334.47592,2467.9697,14.515746,31.286974,24.379911,269.4391,39.239998,62.279995,49.965,2.1000001
32.702953,51.15295,42.2677,42,86,66.958336,1021.6,1026,1023.6418,35.958332,4.4166665,18.125,23,494.60223,4124.2603,3.554219,19.7082,11.685326,257.1152,14.04,38.519997,26.324999,1
37.058952,44.56495,40.547195,48,88,72.791664,1023.6,1031.3,1027.1832,58.125,1.125,36.166668,51.375,310.5805,2211.65,6.074855,14.846872,10.890735,292.65823,16.199999,31.68,21.96,0.70000005
33.56695,44.294952,37.837452,51,85,71,1031.2,1037.3,1034.7125,24.833334,0,0.7083333,24.125,575.0106,4037.9302,2.6237357,19.197443,11.0746765,355.41858,5.7599998,34.92,24.810003,0
35.870953,48.68695,41.234203,53,76,65.333336,1035.2,1038.7,1037.1041,8.833333,0,0,8.833333,583.7163,4231.0596,1.0656,7.463956,4.0192227,118.315475,1.8,23.039999,11.760001,0
33.404953,57.39895,43.810455,43,81,64.083336,1030.5,1037.3,1033.3998,18.741667,19.041666,18.166666,0,453.33282,4179.44,5.7384315,11.501571,8.144151,112.93772,9.36,23.4,15.704998,0
40.676952,58.92895,49.712204,45,74,60.25,1023.5,1030.7,1026.7377,32.695835,80.375,19.041666,0,525.7764,4393.9297,0.79920006,10.508459,6.4693217,110.457565,1.4399999,26.28,12.389999,0
45.30295,58.80295,52.04245,56,80,64.833336,1023.9,1026.4,1024.9083,47.7375,56.208332,42.791668,0,352.08514,4389.4795,1.332,8.343893,3.7844894,328.54318,1.08,11.879999,5.565,0
43.89895,57.848953,50.702198,54,91,75.208336,1025,1027.9,1026.3541,62.541668,15.75,62.541668,22.416666,221.425,3891.9697,0.3767465,10.738928,4.9908433,326.75793,2.16,22.319998,8.414998,0
44.06095,52.05295,48.269947,59,96,79.541664,1026.8,1029.2,1027.9958,83.041664,11.041667,19.041666,83.041664,60.52128,2804.3901,1.6204481,9.073257,5.264757,48.658417,4.32,15.4800005,9.45,0
32.28895,51.350952,41.455452,40,84,63.708332,1023.8,1030.8,1027.3292,7.0833335,0,0.16666667,6.9166665,600.7081,4129.6,5.0264254,13.863041,8.593461,93.38906,14.759999,25.919998,20.685001,0
31.802952,52.12495,41.0407,50,89,71.625,1017.5,1024.1,1020.575,4.0416665,1.875,1.3333334,2.7083333,705.20746,4762.3896,1.5984001,14.216876,6.4043827,100.10187,4.68,27.359999,14.955002,0
31.244951,51.332954,40.2037,53,91,74.25,1019.1,1022.1,1020.2083,25.483332,4.4583335,10.208333,15.25,372.4023,4567.48,1.0656,11.636527,5.858486,4.927109,7.92,18,12.329998,0
32.45095,52.35895,41.3137,62,95,78.541664,1018.5,1022.7,1020.7917,28.208334,9.166667,4.7916665,23.416666,521.65674,4693.86,0.5328,10.555628,4.2344556,15.442444,5.3999996,16.199999,10.755001,0
36.806953,59.99095,47.4187,46,77,64.166664,1019.9,1022.9,1021.2334,47.63333,17.5,47.208332,6.1666665,490.72427,4815.79,1.7057923,9.448753,6.055762,90.14805,1.08,19.8,9.81,0
38.08495,63.71695,50.561203,43,82,64.375,1021.2,1024.2,1022.61664,10.816666,20.458334,7.2083335,0,688.3308,4862.96,4.00487,11.308671,7.318147,97.00938,3.96,13.679999,9.09,0
47.246952,63.80695,53.537952,52,84,66.416664,1022.1,1025.2,1023.7375,23.020834,8.875,22.625,0,459.8238,4880.76,0.3767465,12.591451,4.8581066,347.2381,1.8,23.039999,8.954999,0
45.32095,58.22695,51.317947,67,95,82.375,1022.4,1025.5,1023.81244,37.958332,1.5833334,6.9166665,35.75,437.72336,4506.07,1.191377,8.710098,4.038455,321.0959,2.52,15.84,8.445001,0
39.524952,60.044952,50.00395,54,93,73.041664,1018.8,1025.5,1022.2917,5.2708335,15.041667,0.7916667,0.75,670.06274,5078.3403,0.3767465,6.415762,3.8837492,15.945404,3.96,21.599998,10.275,0
44.600952,55.67095,49.493206,58,87,73.583336,1015,1020,1017.47076,83.84583,26.416666,79.166664,81.083336,0,2121.76,2.0806506,14.999053,7.095478,304.51813,2.16,26.64,13.094998,2
38.876953,53.85295,46.4032,52,89,70.708336,1015,1018.4,1016.729,39.083332,0,36.125,39.083332,681.4447,5160.22,4.6600966,22.391867,12.1075325,65.93728,11.5199995,33.48,22.17,0
40.22695,56.426952,47.983448,53,87,71.041664,1011.6,1018.7,1015.63745,11.425,1.4166666,0,11.041667,741.3667,5275.031,0.753493,5.842608,3.218146,84.05314,2.16,20.16,8.249999,0
42.08095,60.18895,51.353207,51,87,68.375,1004,1011.7,1008.3208,42.470833,12.208333,41.916668,18.291666,378.217,4783.7495,0.2664,4.5366287,2.6182334,99.52728,0.71999997,13.32,5.6399994,0
46.238953,52.59295,49.205948,67,86,77.958336,1002.4,1006,1004.0542,98.583336,54.708332,98.583336,91.791664,0,1846.75,1.6204481,15.597487,8.0918,324.92627,2.16,23.039999,12.554999,0.4
41.10895,52.46695,46.71745,54,88,70.541664,1006.3,1013.4,1010.42914,91.041664,21.5,43.958332,78.958336,125.74469,4238.18,6.5903726,13.669722,10.572263,290.06912,9,27,18.209997,0.2
39.182953,51.69295,45.540707,50,90,68.125,1012.8,1024.4,1019.55,25.25,0,2.3333333,23.583334,660.7151,4768.6196,9.112282,20.611166,15.078446,274.66336,19.08,33.12,27.029997,0
37.83295,57.722954,47.19745,48,83,66.958336,1017.5,1025.4,1022.11237,47.50833,18.083334,24.125,40.458332,300.2131,4296.03,1.332,16.621735,6.792683,250.54138,2.8799999,30.960001,15.824998,1.8000001
47.912952,56.570953,51.491955,62,83,73.166664,1007.9,1018,1013.33746,89.083336,66.291664,80.291664,77.041664,0,2427.03,13.906488,30.931093,22.707169,252.22626,27.72,58.679996,43.829998,0.2
46.83295,51.90895,48.956207,58,87,73.083336,1007.1,1017.7,1011.55817,96.625,45.083332,67.125,85.125,43.639183,1876.12,14.537728,31.817797,23.20729,274.5558,30.599998,60.479996,47.039993,1.4
44.97895,53.456955,50.138203,68,77,70.875,1009.2,1016.7,1012.8958,69.458336,28.583334,52.583332,59.5,203.78244,2414.5698,13.407623,36.054657,27.734627,260.6147,33.48,71.28,55.905,1.6
38.71495,45.50095,42.263203,56,81,67.25,1017.6,1026.6,1023.13763,57.083332,0,5.4166665,55.958332,352.24365,4142.06,13.322664,29.424843,24.539103,277.18622,30.960001,54,44.265003,0
40.82095,48.722954,43.719707,63,87,72.958336,1015.7,1025.9,1020.5374,97.666664,67,95.416664,76.833336,0,1579.75,5.0545845,33.650867,21.553232,264.03598,11.879999,65.520004,42.779995,3.3
34.66495,55.166954,44.822193,45,86,68.458336,1016.3,1025.2,1021.06256,57.916668,35.75,57.916668,36.25,270.29645,5407.64,0.79920006,8.955161,4.14343,111.50143,2.52,15.119999,7.125,1
39.84895,48.34495,43.6297,84,95,91.166664,1010.6,1016.2,1013.5041,100,61.875,94.25,100,0,1461.3799,1.8837326,14.407783,7.974815,20.707382,5.3999996,25.199999,14.369999,11.200002
35.81695,49.78495,42.343452,38,95,66,1016.5,1024.6,1019.4875,47.041668,0,7.2916665,47.041668,583.2095,4353.8804,4.295571,20.821848,11.886834,47.614044,13.679999,34.2,23.789999,0.3
33.260952,49.766953,40.965702,43,76,60.125,1025,1033.3,1027.421,2.0833333,0,0,2.0833333,757.4684,5730.7095,1.4346079,18.046509,7.4375343,13.0672,1.08,29.16,16.919998,0
31.316952,53.74495,42.5842,37,81,58.958332,1033.9,1038.1,1035.9374,0,0,0,0,792.78326,6292.3003,1.332,13.330651,6.9174285,96.93838,2.8799999,29.88,19.695,0
37.328953,59.666954,48.404205,45,72,53.291668,1030.5,1036.6,1033.8375,0.083333336,0,0.083333336,0,796.14996,6267.38,2.5132127,6.6653256,4.640288,78.59128,6.8399997,20.880001,11.37,0
39.02095,66.68695,53.224457,39,82,58.5,1025.4,1031.4,1028.625,0.4625,1.5416666,0,0,792.6398,6270.05,2.5132127,10.283178,5.37316,124.14166,3.6,32.039997,17.069998,0
48.578953,68.21695,58.222454,30,75,55.333332,1020.9,1026.7,1024.3417,32.370834,41.166668,28.458334,16.833334,513.13947,6175.71,1.9394212,12.222506,5.770469,321.75357,1.8,15.4800005,8.34,0
52.16095,61.988953,56.486954,44,77,58.5,1023,1027.8,1024.8375,66.762505,6,54.291668,59.333332,195.91011,3978.2996,0.5328,15.778439,8.491614,258.7198,6.4799995,27.72,18.765,0.3
48.93895,66.03895,57.370453,52,82,69.125,1027.7,1031.3,1029.404,42.708332,27.5,20.5,36.625,460.3103,5501.9795,1.0983953,7.0331616,4.1979446,269.30133,2.16,23.759998,11.669999,0
46.65295,67.80295,58.4422,45,79,63.75,1029.5,1032.7,1030.6459,18.129168,8.75,0.625,15.875,595.9827,6030.6396,0.3767465,10.196545,5.736979,280.3955,7.92,24.84,16.050001,0
48.50695,68.99095,58.670956,36,83,61.541668,1025.7,1032.3,1029.7833,24.541666,29.958334,22.083334,0,544.452,6474.75,0.5956885,6.791894,2.723051,145.66978,0.71999997,18.72,5.2199993,0
47.76895,75.41695,61.472958,29,70,45.625,1016,1025.8,1020.84174,7.2083335,9.166667,5.7083335,0,713.0543,6633.17,1.4346079,8.462132,4.9794965,122.414764,1.8,21.599998,12.255,0
51.800953,70.178955,61.021454,40,87,61.5,1013,1017.6,1015.4915,69.98333,38.625,65.708336,34.125,69.57446,4435.7603,2.260479,12.814919,5.8449264,88.43064,6.4799995,27.359999,14.744999,0.3
51.08095,62.096954,56.84245,64,95,78.916664,1011.1,1015.9,1012.88336,95.833336,32.333332,80.666664,85.583336,0,2268.6099,1.506986,14.920779,7.5251217,278.93958,7.5599995,25.199999,17.13,11
42.96295,57.128952,50.618206,38,96,68.416664,1016.1,1021.1,1019.2791,53.958332,16.875,42.625,53.958332,503.2617,5476.17,3.4631999,18.450964,11.346097,71.29156,9.36,29.519999,19.349998,5.4999995
35.54695,63.392952,49.70245,34,73,53.958332,1015.7,1021,1018.4334,2.625,0,0,2.625,819.8752,6950.01,0.79920006,15.194143,8.080701,94.710655,11.159999,26.28,18.435001,0
40.640953,65.40895,51.927692,45,79,61.833332,1021.4,1026,1023.80005,14.629167,5.6666665,14.291667,0.7083333,619.5365,6623.38,0.2664,9.946393,5.513989,41.280106,4.68,25.56,15.539997,0
42.530952,70.80895,55.633453,34,75,62.583332,1025.7,1029.3,1027.3959,0.41250002,1.375,0,0,834.6209,6869.0195,0.9605189,7.8712068,3.414442,62.760918,5.3999996,24.84,16.53,0
44.72695,68.63095,55.5952,40,83,63.833332,1020.6,1028.6,1024.7208,1.8750001,6.25,0.041666668,0,832.7795,6980.27,1.0656,13.73188,7.40712,350.74243,2.16,27.72,15.69,0
40.22695,63.734955,52.925953,36,89,61.583332,1015.2,1023.1,1018.6458,0,0,0,0,845.65,7047.02,0.84243083,12.990926,7.1132092,55.561012,6.12,22.68,13.469998,0
41.63095,68.99095,56.756195,37,80,56.625,1011.7,1017.7,1014.81665,1.3625001,4.5416665,0,0,828.7269,7063.9297,0.3767465,11.157041,7.2173553,143.02487,1.08,27.72,11.505,0
49.856953,66.290955,57.7792,49,87,71.708336,1009.9,1012.1,1011.07916,94.625,66.333336,86.75,79.125,0,2766.1199,1.8837326,13.713779,6.749332,192.79346,8.64,30.960001,20.219997,4.1
52.21495,64.99495,58.370953,61,88,75.625,1004.2,1012,1008.7334,95.166664,67.458336,83.333336,84.791664,0,3046.47,0.3767465,9.65677,5.1688957,118.64133,7.2,22.68,15.134999,1.3
52.610954,63.266953,57.65695,72,96,82.583336,999.3,1003.1,1000.8792,96.625,57.875,96.625,77.708336,0,2982.3896,1.1302395,11.605993,6.28834,328.8745,3.6,19.08,11.384999,2
46.724953,56.55295,50.86195,41,95,70.875,1002.9,1021,1014.02496,59.291668,28.708334,52.416668,55.791668,441.81485,3880.4001,2.1967907,19.476372,12.354684,313.05658,10.799999,31.319998,19.89,6.6
39.57895,63.086952,52.08745,39,82,60.458332,1014.4,1021.4,1017.67914,88.625,73.666664,88.625,0.8333333,0,6560.1904,2.664,10.403253,5.957762,84.07763,4.68,27,15.299999,0
47.732952,59.77495,54.605946,49,72,60.541668,1013.8,1018.4,1016.37933,94.041664,52.208332,92.791664,53.083332,38.215073,4947.5103,3.8420756,12.358204,8.2772,261.37708,14.759999,29.16,22.35,0.1
45.53695,59.792953,52.736202,80,96,88.625,1002.8,1014.2,1007.18317,100,99.333336,100,98.333336,0,938.9498,1.6204481,20.39309,9.187622,253.16391,5.7599998,40.32,24.36,28.800001
48.09295,62.90695,54.848194,66,96,84.625,1005.3,1013,1011.05,94.666664,42.625,45.208332,81.791664,74.04256,3705.0698,0.2664,14.2791395,4.715149,299.0546,4.32,35.64,16.545,4.7
53.690952,72.10495,62.422455,53,96,78.416664,1006.5,1011.5,1008.4709,100,75.666664,100,88.458336,0,2919.2,4.4337797,15.899415,9.271337,215.52768,16.199999,42.839996,29.385,13
58.47895,72.46495,64.9357,52,94,78.041664,1006.1,1012,1009.8833,87.25,56.875,77.5,61.875,77.14894,3520.84,2.2761226,12.859147,7.75293,134.11859,7.2,36.719997,19.529999,1.3000001
58.514954,75.39896,66.869194,42,89,61.208332,1002.9,1012.9,1006.86676,82.166664,38.708332,80.833336,27.083334,218.93617,5375.5996,4.890454,22.720655,13.627189,239.63417,19.08,57.239998,33.99,0
53.06095,64.86895,58.878696,44,86,61.208332,1013.3,1019.9,1016.59174,45.416668,0,25.708334,45.416668,651.5698,5938.0796,3.2408962,13.752537,8.71433,263.60696,11.879999,33.839996,23.804998,0.3
49.13695,62.85295,55.82921,51,76,62.875,1017.7,1023.6,1020.69586,84.458336,25.708334,28.916666,60.166668,32.553192,4833.5894,1.9210378,11.869009,5.4989033,281.1936,3.96,29.16,16.109999,0
50.01895,74.39095,62.083447,41,79,63.208332,1012.4,1018.2,1015.43335,53.287502,39.25,47.458332,29.458334,370.86984,6470.3,0.9605189,13.449903,6.2126255,142.28894,3.6,30.960001,12.299999,2.1000001
55.79695,66.974945,61.00945,56,90,72.625,1017.4,1025.2,1021.14594,49.05417,22.333334,21,32.5,489.04074,6498.7803,6.723632,18.197283,11.432733,265.73123,17.64,30.239998,24.255,0
48.974953,71.34895,60.922455,42,83,63.208332,1024.6,1027.9,1026.4498,13.520833,11.333333,0.041666668,11.333333,786.86346,7309.5703,0.9605189,7.572511,4.2291646,176.76031,2.52,26.28,10.620002,0
